0	4
0	6
0	16
0	27
0	28
0	34
0	92
0	104
0	157
0	159
0	354
0	563
0	589
0	638
0	656
0	696
0	879
0	919
1	0
1	33
1	125
1	127
1	229
1	758
2	0
2	6
2	9
2	23
2	47
2	255
2	259
2	550
2	582
2	641
3	406
3	510
3	594
4	231
4	253
4	327
4	353
4	504
4	523
4	524
4	529
4	541
4	567
5	65
5	80
5	504
5	644
5	672
6	63
6	73
6	267
6	519
6	699
6	840
7	626
8	2
8	32
8	152
8	192
8	358
8	368
8	587
9	79
9	631
9	719
9	759
10	12
10	258
10	361
10	505
12	129
12	188
12	455
12	516
12	567
12	737
13	1
13	129
13	402
14	22
14	172
14	261
14	837
15	282
16	25
16	44
16	94
16	150
16	188
16	189
16	196
16	219
16	250
16	331
16	337
16	360
16	458
16	501
16	519
16	520
16	536
16	619
17	33
17	47
17	317
17	384
17	699
17	918
18	524
18	877
19	160
20	7
20	250
20	307
20	535
20	750
20	768
20	782
20	787
21	328
21	938
22	516
23	152
24	2
24	86
25	64
25	159
25	315
25	765
26	219
26	266
28	158
28	162
28	173
28	500
28	756
29	563
29	634
30	668
32	0
32	66
32	252
32	266
32	277
32	510
32	516
32	542
32	626
32	812
33	17
33	32
33	125
33	188
33	315
33	667
33	781
34	289
34	500
34	542
34	567
34	598
34	724
35	323
36	890
36	911
37	18
37	330
38	500
40	142
40	250
40	269
40	535
41	0
43	25
43	222
43	532
43	880
44	601
45	34
45	274
45	637
47	314
47	425
49	174
49	317
49	500
49	718
51	298
52	143
53	192
54	22
54	844
55	10
55	508
56	328
58	142
59	123
62	691
63	102
63	118
63	189
63	206
63	536
63	833
63	878
63	955
64	400
64	510
64	605
65	86
65	510
65	533
65	820
66	315
67	17
67	59
67	82
67	408
67	564
68	63
68	126
68	281
68	915
69	126
69	875
70	34
70	146
70	515
71	505
71	816
73	219
75	252
76	28
77	668
78	461
78	813
79	2
79	35
79	445
79	820
80	48
80	66
80	209
80	519
81	569
82	13
82	281
84	8
84	24
84	705
85	92
85	547
86	130
88	559
89	753
90	83
92	510
93	10
94	5
94	8
94	55
94	79
94	127
95	25
95	71
95	914
96	500
96	508
96	828
98	506
99	79
99	876
102	66
103	473
103	631
104	128
107	875
108	292
110	8
110	38
110	78
110	193
110	440
111	272
112	41
112	508
115	563
118	286
118	645
121	24
125	16
125	22
125	32
125	79
125	80
125	282
125	286
126	63
126	79
126	131
126	313
127	5
127	26
127	95
127	157
127	500
127	974
128	105
128	507
128	760
129	225
129	258
131	1
131	457
132	145
133	2
133	24
133	188
133	391
133	878
134	8
134	79
134	881
135	250
136	145
137	219
138	7
141	2
141	8
141	20
141	126
141	218
141	472
141	502
142	6
142	125
142	266
143	49
143	641
144	586
145	256
145	281
146	389
147	521
148	145
149	66
149	136
149	159
150	521
151	143
153	136
157	258
158	0
158	51
158	182
158	250
158	986
159	26
159	367
159	625
159	783
160	24
160	407
160	459
162	90
164	0
164	18
165	572
165	656
165	691
168	16
168	99
168	519
168	526
172	10
172	98
173	65
174	628
176	160
176	479
176	697
179	21
180	93
183	611
184	446
185	237
